time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.84821007805e-08,-9.57894520627e-08,10.0066443928,6.28303657253,3.01672495295e-05,0.0,-2.78161753913e-06,-1.14824995205e-05,0.221462282161,-0.00796591919065,0.00148995433069,0.0,473.5392401594792,473.65380808204657,474.4600130465166,473.8481955664765
0.12000000000000001,-1.38415183603e-06,-4.90895627176e-06,10.0194425826,6.28246096244,0.000522082876544,0.0,-6.92281840893e-05,-0.000193435901266,0.205147289531,-0.0130653671169,0.0190472767009,0.0,397.3252290458229,398.93128306143996,398.7964790341291,398.3306036563123
0.18,-2.23820856228e-05,-3.57563646878e-05,10.0362902245,6.28174204535,0.00210431047709,0.0,-0.000783300786352,-0.000917046184199,0.356404812628,-0.00989871307396,0.0380165389147,0.0,451.5005231848536,453.0282337092866,453.4748963073612,453.7292771630332
0.23999999999999996,-0.000119875543615,-0.000121432325396,10.0600347312,6.28154296091,0.00412736931562,0.0,-0.00268091299589,-0.00197551703422,0.435050864467,0.00736124193739,0.0233226106352,0.0,431.1612312767619,429.9187072268887,429.16928063409733,430.6315860771256
0.3,-0.00037334193706,-0.000272663128545,10.0894225261,6.28161484178,0.00495061258355,0.0,-0.00590255845119,-0.00303438943014,0.544495362997,-0.0154751608071,-0.0247066309045,0.0,442.3574622436475,438.38521002798234,440.78022160305807,438.88922822848997
0.36000000000000004,-0.000834667615316,-0.000493225899586,10.1272887258,6.28152560791,0.00372853372381,0.0,-0.00932327454205,-0.00436477476086,0.717618760811,0.0174535942045,-0.0128607675743,0.0,458.87521701336425,459.81448839080934,459.05484770760705,461.6600434061747
0.4200000000000001,-0.00147676434434,-0.000789006909048,10.1757413167,6.28233980895,0.00255051929264,0.0,-0.0119749428689,-0.00538686844253,0.897343997172,0.00437837498631,-0.0387727855767,0.0,462.540757240141,460.49581634233726,463.1047072311607,462.0751269561152
0.48000000000000015,-0.00223947683319,-0.00112821418555,10.232736277,6.28308544172,0.00032846223379,0.0,-0.0132151743392,-0.00586453838891,1.00240186366,0.0249858624495,-0.033766903889,0.0,439.6668611081521,440.0806949032004,437.9342469283595,439.6447054295344
0.5400000000000001,-0.00303150251872,-0.00147700748507,10.2927053617,0.00104418408948,6.28123625076,0.0,-0.0130013804229,-0.00564442698966,0.996572690888,0.00332007489596,-0.0480365295188,0.0,403.6468421493242,402.3562666345158,403.90565549015815,401.94718426297277
0.6000000000000002,-0.00376092760417,-0.00179336435968,10.3552597075,0.00147930423361,6.27838444417,0.0,-0.0110240175138,-0.0048679396896,1.08848796683,0.0141404040963,-0.0465363575412,0.0,436.18511937174145,436.30895589444526,433.98307620224824,434.8901360116461
0.6600000000000003,-0.00430249299168,-0.00204853119133,10.4254379397,0.00238197257408,6.27532737101,0.0,-0.00670595956659,-0.00354047137802,1.25062099956,0.0167938650776,-0.06169114387,0.0,457.7233251540219,456.5141638288617,457.5416755180478,457.75274533513766
0.7200000000000003,-0.00452100011512,-0.00220566883878,10.504373186,0.00326991509526,6.27189870013,0.0,-0.000200885026906,-0.00159663432442,1.38040230675,0.0104770374654,-0.0493283724252,0.0,447.77752775220654,448.779743228889,447.6096750390107,447.095260386569
0.7800000000000004,-0.00423936201934,-0.00221736316753,10.5943758718,0.00351325430394,6.26914014753,0.0,0.00993472469916,0.00126514762581,1.61937549249,-0.0136316220421,-0.0399982644523,0.0,480.40032502633045,481.1061073609413,481.82086267115324,479.9948854576917
0.8400000000000004,-0.0033307930859,-0.00206896777883,10.6954391473,0.00270665690074,6.26651043223,0.0,0.0206142949241,0.00359429341631,1.7492068291,-0.0130692715323,-0.0528665987187,0.0,449.8960245128543,448.8518812549937,448.2957723175179,448.341578387062
0.9000000000000005,-0.00171210884331,-0.00179658662227,10.8048560951,0.00198462208801,6.26343207983,0.0,0.0336788139518,0.00540232382398,1.89778390883,-0.0100397098265,-0.0483551290901,0.0,454.1972029678535,454.55722478121953,455.5717099106358,455.81399218150307
0.9600000000000005,0.000765255186789,-0.0014300636654,10.9235630643,0.000893345972655,6.26024672213,0.0,0.0492297359247,0.00673137752725,2.05883185597,-0.0442152615185,-0.0648096653999,0.0,460.03250278250397,458.72597627603295,460.663370467972,457.95307514525916
1.0200000000000005,0.00418083983602,-0.00101804391303,11.048952288,6.28171254128,6.25640302239,0.0,0.0649928428565,0.00676211310656,2.12068644413,-0.0312731753889,-0.0626068010932,0.0,429.1683976781122,429.352160355605,427.9261114208825,429.025436956097
1.0800000000000005,0.00865413458046,-0.000650333499933,11.1794134244,6.27981865966,6.25274920316,0.0,0.0844929144989,0.00530104514822,2.22780337122,-0.0321540859244,-0.0576810344027,0.0,442.6548464511337,443.05732708942617,444.35177781147354,444.27920568489645
1.1400000000000006,0.0144042744045,-0.000413889283637,11.3173188443,6.27759933642,6.24936763384,0.0,0.107539036531,0.00235998172365,2.36874869882,-0.0490280002216,-0.0538403666853,0.0,455.0197765652242,455.3250389173141,454.5834191271728,453.2286425077147
1.2000000000000006,0.0215854607601,-0.000402110121858,11.4629628443,6.27426251102,6.24564427829,0.0,0.13217801324,-0.0022883992163,2.48578782456,-0.0739571949793,-0.0884680258559,0.0,449.08458265448405,446.26383399405876,448.9095564784309,446.87987059176686
